,Crop_Type,Soil_Type,Soil_pH,Temperature,Humidity,Wind_Speed,N,P,K,Annual_Rainfall
0,Wheat,Peaty,5.5,9.440599409765396,80.0,10.95670655406815,60.50000000000001,45.0,31.5,625.5
1,Corn,Loamy,6.5,20.052576424032637,79.94742357596736,8.591576842195144,84.0,66.0,50.0,904.5
2,Rice,Peaty,5.5,12.143099171229291,80.0,7.227751486758685,71.5,54.0,38.5,1359.7
3,Barley,Sandy,6.75,19.751848411984515,80.0,2.6826825548319304,50.0,40.0,30.0,600.6
4,Cotton,Sandy,6.75,14.826739078862005,80.0,10.366657495668038,55.00000000000001,44.0,36.0,799.3
5,Sugarcane,Saline,8.0,13.533004268206692,80.0,9.910484291920756,84.5,66.0,54.0,1432.9
6,Tomato,Clay,6.25,18.32327171374926,80.0,8.198083930243586,60.0,45.0,40.0,1141.3
7,Potato,Peaty,5.5,18.895963172575023,80.0,6.6967067309505,60.50000000000001,45.0,31.5,662.7
8,Wheat,Peaty,5.5,16.044317975023777,80.0,4.1209896283606735,60.50000000000001,45.0,31.5,666.4
9,Corn,Clay,6.25,15.984306179345618,80.0,10.655914948161588,72.0,55.00000000000001,40.0,838.3
10,Rice,Peaty,5.5,14.421758588058797,80.0,9.096688913232134,71.5,54.0,38.5,1424.1
11,Barley,Saline,8.0,11.400778958026455,80.0,11.382448900445914,65.0,55.0,45.0,758.7
12,Cotton,Loamy,6.5,19.438742297966787,80.0,11.428127762280916,77.0,66.0,60.0,737.9
13,Sugarcane,Clay,6.25,10.803912383886807,80.0,9.072362872446355,78.0,60.0,48.0,1050.4
14,Tomato,Clay,6.25,19.8777256356118,80.0,9.26275693771888,60.0,45.0,40.0,634.6
15,Potato,Saline,8.0,19.062629111970992,80.0,14.068720085712467,71.5,55.0,40.5,550.4
16,Wheat,Loamy,6.5,1.9012744795512777,80.0,12.465707513125672,77.0,60.0,45.0,696.6
17,Corn,Peaty,5.5,13.504963247670664,80.0,15.382842529025758,66.0,49.50000000000001,35.0,1085.8
18,Rice,Saline,8.0,12.327917731632477,80.0,5.514838387556992,84.5,66.0,49.50000000000001,1366.0
19,Barley,Loamy,6.5,18.71855641885613,80.0,12.114943933998164,70.0,60.0,50.0,586.7
20,Cotton,Peaty,5.5,16.572564479315858,80.0,12.887923869999106,60.50000000000001,49.50000000000001,42.0,1105.7
21,Sugarcane,Clay,6.25,13.361874083609989,80.0,7.415205837255013,78.0,60.0,48.0,1128.5
22,Tomato,Loamy,6.5,17.304778077101467,80.0,13.821200860418667,70.0,54.0,50.0,755.9
23,Potato,Sandy,6.75,10.64847522719463,80.0,8.480070341105428,55.00000000000001,40.0,27.0,598.9
24,Wheat,Loamy,6.5,16.074694150473775,80.0,3.933055200412795,77.0,60.0,45.0,532.3
25,Corn,Sandy,6.75,22.019793693296467,77.98020630670354,7.461948950632882,60.0,44.0,30.0,1181.4
